                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.7927,                 2.7565,                 1.2411,                0.88278,                0.32365,                0.66702,                0.51478,                0.70794,                   2.81,                 1.2031,             0.00029819,             0.00029819,             0.00029819
                      2,                0.76904,                 1.5784,                  1.188,                0.70479,                0.77631,                0.88097,                0.66795,                0.90014,                  1.785,                 1.4023,             0.00058135,             0.00058135,             0.00058135
                      3,                0.77596,                 1.3974,                 1.1564,                0.69624,                0.74406,                0.78193,                0.57192,                 1.0515,                 2.0136,                 1.6168,             0.00084451,             0.00084451,             0.00084451
                      4,                0.76837,                 1.2912,                 1.1519,                0.79364,                0.93916,                0.93992,                0.71813,                0.79696,                 1.3169,                 1.2734,             0.00081901,             0.00081901,             0.00081901
                      5,                0.76012,                 1.1178,                 1.1412,                0.84383,                0.83221,                0.87831,                 0.7207,                0.69135,                 1.3305,                 1.1456,             0.00081901,             0.00081901,             0.00081901
                      6,                0.74789,                 1.0033,                 1.1049,                0.65865,                0.63905,                0.68312,                0.54076,                0.78422,                 1.9706,                 1.2481,             0.00078901,             0.00078901,             0.00078901
                      7,                0.73679,                0.91963,                 1.1091,                0.90675,                0.88906,                0.96857,                0.77928,                 0.7116,                 1.0192,                 1.1541,             0.00075902,             0.00075902,             0.00075902
                      8,                0.69747,                0.86388,                 1.0826,                0.86817,                 0.8533,                0.95909,                0.78278,                0.66615,                 1.0233,                 1.1425,             0.00072902,             0.00072902,             0.00072902
                      9,                0.69272,                0.82717,                 1.0821,                0.95184,                0.93313,                  0.995,                0.83854,                0.63848,                0.73957,                 1.1019,             0.00069902,             0.00069902,             0.00069902
                     10,                0.68704,                0.73351,                 1.0748,                0.94313,                0.96781,                0.99278,                0.83526,                0.62967,                   0.64,                 1.1022,             0.00066902,             0.00066902,             0.00066902
                     11,                0.68964,                0.70632,                 1.0763,                0.91621,                0.90153,                0.97147,                0.82365,                0.62831,                0.66587,                 1.0992,             0.00063903,             0.00063903,             0.00063903
                     12,                0.66461,                0.68099,                 1.0572,                0.98439,                      1,                  0.995,                0.82949,                0.62882,                0.51644,                 1.1022,             0.00060903,             0.00060903,             0.00060903
                     13,                0.64791,                0.63911,                 1.0472,                0.89639,                0.98376,                 0.9768,                0.81012,                 0.6438,                0.53546,                 1.1145,             0.00057903,             0.00057903,             0.00057903
                     14,                0.64186,                0.61749,                 1.0492,                0.89924,                0.95921,                0.98795,                 0.8172,                0.65409,                 0.5358,                    1.1,             0.00054904,             0.00054904,             0.00054904
                     15,                 0.6461,                0.58356,                 1.0652,                0.94773,                0.92702,                0.98454,                0.85036,                 0.5746,                0.50937,                 1.0398,             0.00051904,             0.00051904,             0.00051904
                     16,                0.64049,                0.57742,                 1.0532,                0.91426,                0.81302,                0.92263,                 0.7812,                0.58945,                0.75165,                 1.0583,             0.00048904,             0.00048904,             0.00048904
                     17,                0.63829,                0.56705,                 1.0443,                0.86901,                0.83332,                0.95531,                0.82779,                0.60151,                0.91006,                 1.0817,             0.00045904,             0.00045904,             0.00045904
                     18,                0.62725,                0.53336,                 1.0384,                0.90438,                0.97078,                0.98841,                0.85549,                0.59277,                0.44598,                 1.0668,             0.00042905,             0.00042905,             0.00042905
                     19,                0.61968,                0.52722,                 1.0447,                0.98839,                 0.9606,                  0.995,                0.87707,                 0.5582,                0.39758,                 1.0288,             0.00039905,             0.00039905,             0.00039905
                     20,                0.61593,                 0.4984,                 1.0402,                0.95062,                0.92111,                0.99224,                 0.8597,                 0.5707,                0.46231,                 1.0407,             0.00036905,             0.00036905,             0.00036905
                     21,                0.51653,                0.45083,                0.98761,                0.90712,                0.91028,                0.96429,                  0.842,                0.55018,                0.54916,                 1.0299,             0.00033906,             0.00033906,             0.00033906
                     22,                0.50526,                0.42732,                 1.0021,                0.97523,                0.93168,                0.97177,                 0.8528,                0.56434,                0.52842,                 1.0309,             0.00030906,             0.00030906,             0.00030906
                     23,                0.49852,                0.39588,                  0.982,                0.90912,                 0.9405,                0.98228,                0.86067,                0.53928,                0.49787,                 1.0288,             0.00027906,             0.00027906,             0.00027906
                     24,                0.48336,                0.37952,                0.97206,                0.92874,                0.91041,                0.97828,                 0.8634,                0.54424,                0.49505,                 1.0211,             0.00024907,             0.00024907,             0.00024907
                     25,                0.47884,                0.35959,                0.97521,                0.98403,                0.92379,                0.99382,                0.88431,                0.53892,                0.39821,                 1.0128,             0.00021907,             0.00021907,             0.00021907
                     26,                 0.4681,                0.35044,                0.96604,                0.97195,                 0.9396,                0.98977,                0.88367,                0.52076,                0.40059,                0.99833,             0.00018907,             0.00018907,             0.00018907
                     27,                0.45889,                0.33785,                0.96763,                0.91898,                0.89392,                0.97939,                0.87409,                0.53112,                0.52064,                 1.0075,             0.00015907,             0.00015907,             0.00015907
                     28,                0.45117,                0.32481,                 0.9625,                 0.9186,                0.88854,                0.96031,                0.85902,                0.53648,                0.54327,                 1.0053,             0.00012908,             0.00012908,             0.00012908
                     29,                0.45127,                  0.313,                0.94496,                0.90752,                0.88914,                0.96575,                0.86672,                0.51812,                0.56473,                0.99343,             9.9081e-05,             9.9081e-05,             9.9081e-05
                     30,                0.42658,                0.29509,                0.93167,                0.89818,                0.90147,                0.97486,                0.86779,                0.52124,                0.54267,                0.99571,             6.9084e-05,             6.9084e-05,             6.9084e-05
