                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.90855,                 2.6526,                 1.4224,                0.50108,                0.58546,                 0.5454,                0.38133,                 1.1018,                 2.4746,                 1.7693,             0.00032883,             0.00032883,             0.00032883
                      2,                0.89652,                 1.7142,                 1.3733,                0.46378,                0.59412,                0.56001,                0.38198,                  1.137,                 2.1273,                 1.7872,             0.00064031,             0.00064031,             0.00064031
                      3,                0.87338,                 1.5024,                   1.35,                0.77159,                0.70812,                0.76436,                0.53532,                 1.0668,                 1.6721,                 1.6946,             0.00092979,             0.00092979,             0.00092979
                      4,                0.88263,                 1.4019,                 1.3507,                 0.5862,                 0.6329,                0.66549,                0.45538,                 1.1186,                 1.7093,                  1.755,               0.000901,               0.000901,               0.000901
                      5,                0.85139,                 1.2618,                 1.3217,                0.61075,                 0.6995,                 0.7419,                0.52687,                 1.0655,                  1.506,                 1.6874,               0.000901,               0.000901,               0.000901
                      6,                0.83011,                 1.1633,                 1.3025,                0.70992,                 0.7379,                0.76066,                0.54814,                 1.0302,                 1.2488,                 1.5834,               0.000868,               0.000868,               0.000868
                      7,                0.81689,                 1.0667,                 1.2879,                0.60617,                0.68685,                0.67295,                0.47212,                 0.9859,                 1.4243,                 1.5316,               0.000835,               0.000835,               0.000835
                      8,                0.81789,                 1.0516,                 1.2772,                 0.7882,                0.73989,                0.81025,                0.59077,                 1.0098,                 1.0987,                 1.5634,               0.000802,               0.000802,               0.000802
                      9,                0.79386,                0.94639,                   1.26,                0.79796,                0.76837,                0.80342,                 0.5903,                 1.0502,                 1.1047,                  1.585,               0.000769,               0.000769,               0.000769
                     10,                0.77024,                0.92006,                 1.2514,                0.76778,                0.73125,                0.80727,                0.57128,                 1.0564,                 1.2604,                 1.6494,               0.000736,               0.000736,               0.000736
                     11,                0.75181,                0.88163,                 1.2401,                0.74708,                0.80444,                0.81993,                0.59852,                 1.0021,                0.98663,                 1.5441,               0.000703,               0.000703,               0.000703
                     12,                0.76547,                0.88947,                 1.2426,                0.76769,                0.82053,                0.82938,                0.61577,                0.96637,                0.90538,                 1.5119,                0.00067,                0.00067,                0.00067
                     13,                0.73936,                0.85568,                 1.2373,                0.81544,                0.82345,                 0.8476,                 0.6311,                0.97396,                0.88495,                 1.5623,               0.000637,               0.000637,               0.000637
                     14,                 0.7485,                0.82374,                 1.2307,                0.82806,                0.81125,                0.84108,                0.62837,                0.96377,                0.85446,                 1.5057,               0.000604,               0.000604,               0.000604
                     15,                0.73901,                 0.8104,                 1.2229,                0.78355,                0.79188,                0.82093,                0.62409,                0.98107,                0.81288,                 1.5504,               0.000571,               0.000571,               0.000571
                     16,                0.73419,                0.78248,                  1.229,                0.77893,                0.84338,                 0.8334,                0.63787,                 0.9757,                0.80977,                 1.5176,               0.000538,               0.000538,               0.000538
                     17,                0.72912,                0.75898,                 1.2262,                0.83274,                 0.8348,                 0.8541,                0.65638,                0.94652,                0.77576,                 1.4865,               0.000505,               0.000505,               0.000505
                     18,                0.67985,                0.71373,                 1.1997,                0.82833,                0.84777,                0.84871,                0.65474,                 0.9308,                0.74072,                 1.4809,               0.000472,               0.000472,               0.000472
                     19,                0.70567,                0.71145,                 1.2132,                0.82859,                0.84858,                0.85432,                0.64513,                0.92734,                0.79475,                 1.4645,               0.000439,               0.000439,               0.000439
                     20,                 0.6862,                0.69926,                 1.2004,                0.80174,                0.84337,                0.83714,                 0.6428,                0.92507,                0.75634,                 1.4811,               0.000406,               0.000406,               0.000406
                     21,                0.61024,                0.69682,                 1.2057,                0.79091,                0.85633,                0.84161,                0.63803,                0.91837,                0.76342,                 1.4532,               0.000373,               0.000373,               0.000373
                     22,                0.59818,                0.62203,                 1.1876,                0.79816,                0.86903,                0.84364,                0.63827,                0.92809,                0.74724,                 1.4856,                0.00034,                0.00034,                0.00034
                     23,                0.58439,                 0.6277,                 1.1801,                0.82428,                0.86339,                0.84427,                0.65254,                0.88669,                0.69607,                 1.4285,               0.000307,               0.000307,               0.000307
                     24,                0.57614,                0.58469,                 1.1706,                 0.8332,                 0.8222,                0.83953,                0.64805,                0.94604,                0.70411,                 1.5096,               0.000274,               0.000274,               0.000274
                     25,                0.55359,                0.54618,                 1.1516,                0.84192,                0.85867,                0.84492,                0.65733,                0.91093,                0.69887,                  1.463,               0.000241,               0.000241,               0.000241
                     26,                 0.5577,                0.51219,                 1.1492,                0.82771,                0.85532,                0.83945,                0.65653,                0.90209,                0.70489,                  1.446,               0.000208,               0.000208,               0.000208
                     27,                0.55243,                0.50338,                 1.1663,                0.81071,                0.87994,                0.85262,                0.67231,                0.87474,                0.65004,                 1.4183,               0.000175,               0.000175,               0.000175
                     28,                0.52322,                0.47071,                 1.1267,                0.81881,                0.88149,                0.84485,                0.66253,                 0.8795,                0.65767,                 1.4241,               0.000142,               0.000142,               0.000142
                     29,                0.51283,                0.45441,                 1.1144,                0.81697,                0.86067,                0.84618,                0.66205,                0.90012,                0.69321,                 1.4645,               0.000109,               0.000109,               0.000109
                     30,                0.50051,                0.44659,                 1.1069,                0.82088,                0.87318,                0.84956,                0.66843,                0.88758,                0.64779,                 1.4392,                7.6e-05,                7.6e-05,                7.6e-05
