                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1467,                 2.9234,                 1.6869,                0.37275,                 0.4569,                0.42563,                0.24425,                 1.3289,                  2.781,                 2.2416,              0.0003287,              0.0003287,              0.0003287
                      2,                 1.1442,                  1.931,                 1.6508,                0.64689,                0.56783,                0.65427,                0.33419,                 1.6477,                 2.5768,                 2.9204,             0.00064019,             0.00064019,             0.00064019
                      3,                 1.1671,                 1.7199,                 1.6413,                0.67193,                0.70854,                0.72924,                0.40535,                 1.6065,                 1.9386,                 2.7696,             0.00092968,             0.00092968,             0.00092968
                      4,                 1.1499,                 1.6031,                 1.6367,                0.51379,                0.63837,                0.62579,                0.31305,                 1.6724,                 2.4887,                   2.56,               0.000901,               0.000901,               0.000901
                      5,                  1.143,                 1.4986,                 1.5994,                0.63462,                0.66971,                0.67538,                0.32644,                 1.9046,                  1.814,                 3.0751,               0.000901,               0.000901,               0.000901
                      6,                 1.1067,                 1.3989,                 1.5733,                0.67703,                0.70379,                0.71599,                0.36853,                  1.763,                 1.6734,                 2.9407,               0.000868,               0.000868,               0.000868
                      7,                 1.0978,                  1.328,                 1.5813,                0.67466,                0.77121,                0.78669,                0.50782,                 1.3298,                 1.5215,                 2.1304,               0.000835,               0.000835,               0.000835
                      8,                   1.08,                  1.228,                 1.5562,                0.79355,                0.81414,                0.86284,                0.56714,                 1.3479,                 1.2511,                 2.1663,               0.000802,               0.000802,               0.000802
                      9,                 1.0749,                 1.1896,                 1.5446,                 0.8144,                0.83632,                0.87905,                0.58366,                  1.301,                 1.0986,                 2.0374,               0.000769,               0.000769,               0.000769
                     10,                 1.0508,                 1.1389,                 1.5303,                0.85882,                0.81922,                0.87138,                0.56917,                  1.315,                 1.1494,                 1.9966,               0.000736,               0.000736,               0.000736
                     11,                  1.032,                 1.0961,                  1.522,                0.82304,                 0.8165,                0.85106,                0.52139,                 1.4209,                 1.1387,                 2.2415,               0.000703,               0.000703,               0.000703
                     12,                   1.02,                 1.0808,                 1.5062,                0.79884,                0.79928,                 0.8219,                0.49757,                 1.5706,                 1.1024,                 2.5005,                0.00067,                0.00067,                0.00067
                     13,                0.99897,                 1.0927,                 1.5058,                0.85802,                0.80659,                0.86469,                0.55235,                 1.4356,                0.99842,                 2.0931,               0.000637,               0.000637,               0.000637
                     14,                 1.0038,                 1.0339,                 1.5023,                0.85783,                0.80968,                0.88292,                0.60733,                 1.2052,                0.95544,                 1.8748,               0.000604,               0.000604,               0.000604
                     15,                0.99232,                 0.9764,                 1.4963,                0.83323,                 0.8248,                0.87162,                0.57338,                 1.3434,                 0.9719,                 1.9321,               0.000571,               0.000571,               0.000571
                     16,                0.95086,                0.96218,                 1.4545,                0.86954,                0.82921,                0.89439,                0.63673,                 1.1161,                0.89607,                 1.7925,               0.000538,               0.000538,               0.000538
                     17,                0.93995,                  0.958,                 1.4477,                0.85142,                0.87092,                0.90963,                0.62807,                 1.2246,                0.92541,                 1.8623,               0.000505,               0.000505,               0.000505
                     18,                0.95493,                0.96336,                 1.4657,                0.89756,                0.86333,                0.90817,                0.66218,                 1.0819,                0.78787,                 1.8088,               0.000472,               0.000472,               0.000472
                     19,                0.93864,                0.91226,                 1.4615,                0.89149,                0.85528,                0.90268,                0.64298,                 1.1248,                0.78104,                 1.7765,               0.000439,               0.000439,               0.000439
                     20,                0.95229,                0.93236,                 1.4559,                0.84864,                0.85707,                0.87694,                0.59394,                 1.2871,                0.83137,                 2.0875,               0.000406,               0.000406,               0.000406
                     21,                0.94713,                0.88551,                 1.6309,                0.90746,                0.84992,                0.90852,                0.65879,                 1.0851,                0.83308,                 1.7311,               0.000373,               0.000373,               0.000373
                     22,                0.89702,                0.79936,                 1.5959,                0.83973,                0.85674,                0.89603,                0.61824,                 1.1292,                0.95476,                 1.7531,                0.00034,                0.00034,                0.00034
                     23,                0.87115,                0.78152,                 1.5796,                0.88453,                 0.8576,                0.90764,                0.65653,                 1.0975,                0.83836,                 1.7669,               0.000307,               0.000307,               0.000307
                     24,                0.86209,                0.75029,                 1.5577,                 0.8939,                0.79981,                0.89086,                0.65813,                 1.0366,                0.82884,                 1.6893,               0.000274,               0.000274,               0.000274
                     25,                0.84425,                0.72927,                 1.5335,                0.89171,                0.86576,                0.90944,                0.63623,                 1.1183,                0.85506,                 1.7422,               0.000241,               0.000241,               0.000241
                     26,                0.84363,                0.70667,                 1.5325,                0.92776,                0.87396,                0.93347,                0.70258,                0.98457,                0.74782,                 1.6261,               0.000208,               0.000208,               0.000208
                     27,                 0.7877,                0.69131,                 1.4821,                0.87734,                0.92286,                0.92887,                0.71859,                0.91768,                0.67585,                 1.6149,               0.000175,               0.000175,               0.000175
                     28,                0.78855,                0.65436,                 1.4915,                0.90529,                0.85728,                0.91941,                0.68978,                0.96397,                0.73856,                 1.6067,               0.000142,               0.000142,               0.000142
                     29,                0.77203,                0.65415,                 1.4573,                0.89865,                 0.8771,                 0.9306,                0.72751,                0.88856,                0.69124,                 1.5485,               0.000109,               0.000109,               0.000109
                     30,                0.74475,                0.64744,                 1.4342,                0.88711,                  0.901,                0.92976,                0.72078,                0.88821,                0.69024,                 1.5493,                7.6e-05,                7.6e-05,                7.6e-05
