                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.93457,                 2.6908,                 1.4541,                0.56766,                0.49222,                0.53637,                 0.3655,                 1.1042,                 2.5947,                 1.7567,             0.00032836,             0.00032836,             0.00032836
                      2,                 0.9147,                 1.6639,                 1.3737,                0.57504,                0.68439,                0.63359,                 0.4068,                 1.1925,                 1.8957,                 1.8066,             0.00065842,             0.00065842,             0.00065842
                      3,                0.93172,                 1.5403,                 1.3942,                0.57447,                0.52628,                0.51515,                0.31655,                 1.3412,                 2.2042,                 2.0639,             0.00098517,             0.00098517,             0.00098517
                      4,                0.90098,                 1.4288,                  1.363,                0.67689,                0.65286,                0.67024,                0.45345,                 1.2997,                 1.5863,                 1.9508,             0.00098515,             0.00098515,             0.00098515
                      5,                0.91065,                 1.3547,                 1.3633,                0.51987,                0.56108,                0.52775,                0.31758,                 1.2781,                  2.298,                 1.8463,             0.00098515,             0.00098515,             0.00098515
                      6,                0.85877,                 1.2357,                  1.321,                0.76342,                0.66772,                0.74197,                0.52395,                  1.106,                  1.474,                 1.7601,              0.0009802,              0.0009802,              0.0009802
                      7,                0.87078,                  1.175,                  1.316,                0.75038,                0.69304,                0.79627,                0.57002,                 1.0552,                 1.2478,                  1.625,             0.00097525,             0.00097525,             0.00097525
                      8,                 0.8265,                 1.1151,                 1.2921,                0.76097,                 0.7662,                0.78659,                  0.554,                 1.0868,                 1.1526,                 1.7465,              0.0009703,              0.0009703,              0.0009703
                      9,                0.81071,                 1.0328,                 1.2687,                0.64839,                0.75868,                0.73221,                0.50134,                 1.1129,                 1.3682,                 1.7193,             0.00096535,             0.00096535,             0.00096535
                     10,                0.81795,                 1.0119,                 1.2885,                 0.7103,                0.77397,                0.81343,                0.59449,                0.99971,                 1.1175,                 1.5496,              0.0009604,              0.0009604,              0.0009604
                     11,                0.79122,                0.93938,                 1.2555,                0.77664,                0.73945,                0.79214,                0.56375,                 1.0617,                 1.1427,                 1.6455,             0.00095545,             0.00095545,             0.00095545
                     12,                 0.8041,                0.93366,                 1.2642,                0.80957,                0.81249,                0.83427,                0.61329,                 1.0179,                0.90237,                 1.5638,              0.0009505,              0.0009505,              0.0009505
                     13,                0.79428,                0.89815,                 1.2593,                0.74703,                0.74183,                0.79048,                0.57677,                 1.0526,                 1.0365,                 1.6339,             0.00094555,             0.00094555,             0.00094555
                     14,                0.80173,                0.88385,                 1.2556,                0.77373,                0.77835,                0.82184,                0.60192,                 1.0511,                0.96761,                 1.6193,              0.0009406,              0.0009406,              0.0009406
                     15,                0.76361,                 0.8451,                 1.2458,                0.78729,                0.76244,                0.81493,                0.60571,                0.99634,                 0.8959,                 1.6024,             0.00093565,             0.00093565,             0.00093565
                     16,                0.79597,                0.87508,                 1.2768,                0.72872,                0.79261,                0.81126,                0.60007,                 1.0424,                0.90915,                 1.6247,              0.0009307,              0.0009307,              0.0009307
                     17,                0.77076,                0.84966,                 1.2426,                0.76774,                 0.8445,                0.84422,                0.60644,                 1.0122,                0.84004,                 1.6095,             0.00092575,             0.00092575,             0.00092575
                     18,                0.77761,                0.80056,                 1.2579,                0.80326,                0.81096,                0.83201,                0.61419,                0.96263,                0.84932,                 1.5188,              0.0009208,              0.0009208,              0.0009208
                     19,                0.76086,                0.83041,                 1.2408,                0.80509,                0.85009,                0.85279,                0.65415,                0.91918,                0.79256,                 1.4798,             0.00091585,             0.00091585,             0.00091585
                     20,                0.74479,                0.77901,                  1.229,                0.80379,                0.84166,                0.83568,                0.62506,                0.96967,                0.78715,                 1.5333,              0.0009109,              0.0009109,              0.0009109
                     21,                0.76376,                0.79296,                 1.2437,                0.75226,                0.77868,                0.80879,                 0.5962,                 1.0413,                0.91017,                 1.6398,             0.00090595,             0.00090595,             0.00090595
                     22,                0.74742,                0.77889,                 1.2374,                0.77086,                0.81632,                0.83068,                0.62393,                0.96699,                0.90537,                 1.5461,               0.000901,               0.000901,               0.000901
                     23,                 0.7294,                0.72426,                 1.2095,                0.79474,                0.85422,                0.85324,                0.62753,                 1.0058,                0.81744,                 1.5894,             0.00089605,             0.00089605,             0.00089605
                     24,                0.74706,                0.74252,                 1.2235,                0.78697,                0.81072,                0.83336,                0.61658,                 0.9875,                0.81404,                 1.5472,              0.0008911,              0.0008911,              0.0008911
