                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.76591,                 3.0386,                  1.355,                 0.0055,                0.99231,                0.40568,                0.29781,                 0.7252,                 3.4295,                 1.4755,             0.00032407,             0.00032407,             0.00032407
                      2,                0.74211,                 1.8805,                 1.3059,                0.45727,                0.56658,                0.59037,                0.38756,                0.98049,                  2.304,                 1.8459,              0.0006509,              0.0006509,              0.0006509
                      3,                0.75164,                 1.5436,                 1.3005,                0.66189,                0.74367,                0.75716,                0.52085,                 1.1139,                 1.9695,                 1.9594,             0.00097112,             0.00097112,             0.00097112
                      4,                0.75646,                 1.4667,                 1.3117,                0.63554,                0.72849,                0.76287,                0.54632,                 1.0191,                 1.9223,                 1.8672,              0.0009703,              0.0009703,              0.0009703
                      5,                0.73717,                 1.4126,                 1.2812,                0.62363,                0.68173,                 0.7426,                0.54276,                  1.144,                 1.7263,                 1.8372,              0.0009703,              0.0009703,              0.0009703
                      6,                0.75723,                 1.3046,                 1.2847,                0.72496,                0.70492,                0.78408,                0.59894,                0.89755,                 1.5186,                 1.6421,              0.0009604,              0.0009604,              0.0009604
                      7,                0.72124,                 1.1878,                 1.2719,                0.78834,                0.77005,                0.79599,                0.61298,                0.90799,                 1.3163,                 1.5809,              0.0009505,              0.0009505,              0.0009505
                      8,                0.70661,                 1.1643,                 1.2322,                0.76577,                0.65501,                0.78569,                0.59854,                0.95114,                 1.5172,                 1.6654,              0.0009406,              0.0009406,              0.0009406
                      9,                 0.7035,                 1.1688,                 1.2451,                0.77492,                0.78417,                 0.8222,                0.59192,                 1.0644,                 1.4427,                 1.8543,              0.0009307,              0.0009307,              0.0009307
                     10,                0.66387,                 1.0353,                 1.2119,                0.84185,                0.84298,                0.91433,                0.70845,                0.92607,                 1.0815,                 1.6631,              0.0009208,              0.0009208,              0.0009208
