                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.76591,                 3.0386,                  1.355,                 0.0062,                0.95018,                0.35207,                0.24934,                0.80658,                 3.4029,                 1.4996,             0.00032407,             0.00032407,             0.00032407
                      2,                0.74211,                 1.8805,                 1.3059,                0.49635,                0.55459,                0.54911,                0.35178,                  1.065,                 2.4444,                 1.8361,              0.0006509,              0.0006509,              0.0006509
                      3,                0.75164,                 1.5436,                 1.3005,                0.63672,                0.58203,                0.62829,                0.40492,                 1.1807,                 2.1452,                 1.9578,             0.00097112,             0.00097112,             0.00097112
                      4,                0.75646,                 1.4667,                 1.3117,                0.60952,                0.55375,                0.59365,                0.40096,                 1.0943,                  2.171,                 1.8625,              0.0009703,              0.0009703,              0.0009703
                      5,                0.73717,                 1.4126,                 1.2812,                0.58851,                0.51301,                0.49405,                0.34015,                 1.2067,                 2.1058,                 1.8146,              0.0009703,              0.0009703,              0.0009703
                      6,                0.75723,                 1.3046,                 1.2847,                0.56494,                0.63206,                0.57862,                 0.4204,                  1.022,                 1.7831,                 1.7001,              0.0009604,              0.0009604,              0.0009604
                      7,                0.72124,                 1.1878,                 1.2719,                0.68917,                0.64193,                0.65186,                0.48481,                 1.0351,                 1.6196,                 1.6754,              0.0009505,              0.0009505,              0.0009505
                      8,                0.70661,                 1.1643,                 1.2322,                0.59777,                0.59936,                0.65198,                0.47976,                 1.0919,                 1.8456,                 1.7548,              0.0009406,              0.0009406,              0.0009406
                      9,                 0.7035,                 1.1688,                 1.2451,                0.69342,                0.62279,                0.59489,                0.41545,                 1.0969,                 2.0406,                 1.7988,              0.0009307,              0.0009307,              0.0009307
                     10,                0.66387,                 1.0353,                 1.2119,                0.75629,                0.71664,                0.74686,                0.55123,                 1.0335,                  1.403,                 1.6972,              0.0009208,              0.0009208,              0.0009208
                     11,                0.65872,                0.98277,                  1.223,                0.75231,                0.59889,                0.66478,                0.49526,                 1.0574,                 1.6001,                 1.6944,              0.0009109,              0.0009109,              0.0009109
                     12,                0.66175,                0.94822,                  1.216,                0.54769,                0.52754,                0.51246,                0.34013,                 1.3752,                 2.2122,                 2.1709,               0.000901,               0.000901,               0.000901
                     13,                0.66224,                0.92285,                 1.2061,                0.80746,                0.65105,                0.71762,                0.53821,                  1.021,                 1.4814,                 1.6037,              0.0008911,              0.0008911,              0.0008911
                     14,                0.66493,                0.92153,                 1.2143,                0.79212,                0.63106,                0.75313,                0.56575,                0.93885,                 1.3912,                 1.5231,              0.0008812,              0.0008812,              0.0008812
