                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.76591,                 3.0386,                  1.355,                 0.0055,                0.99231,                0.40568,                0.29781,                 0.7252,                 3.4295,                 1.4755,             0.00032407,             0.00032407,             0.00032407
                      2,                0.74263,                 1.8961,                 1.3065,                 0.5677,                0.59921,                 0.6589,                0.45005,                  1.048,                 2.2744,                 1.9239,             0.00063571,             0.00063571,             0.00063571
                      3,                0.74931,                 1.5802,                  1.297,                0.65327,                0.73153,                0.74953,                0.55392,                0.96881,                 1.8392,                 1.7483,             0.00092535,             0.00092535,             0.00092535
                      4,                0.73634,                 1.4364,                 1.2942,                0.69792,                0.85422,                0.83901,                0.62428,                0.92094,                 2.0203,                   1.63,               0.000901,               0.000901,               0.000901
                      5,                 0.7143,                 1.3869,                 1.2705,                0.71845,                0.64417,                0.76166,                0.50539,                  1.036,                 1.7242,                 1.7679,               0.000901,               0.000901,               0.000901
                      6,                0.73749,                 1.2584,                 1.2668,                0.63407,                0.69077,                0.66525,                0.51027,                0.94029,                 1.8168,                 1.6352,               0.000868,               0.000868,               0.000868
                      7,                0.71386,                 1.1658,                 1.2672,                0.86096,                0.80983,                0.86656,                0.68293,                0.83572,                 1.2111,                 1.5355,               0.000835,               0.000835,               0.000835
                      8,                0.68001,                 1.1003,                 1.2214,                0.79138,                0.78427,                0.87772,                0.69667,                0.98036,                 1.4285,                 1.6918,               0.000802,               0.000802,               0.000802
                      9,                0.67596,                 1.0897,                 1.2248,                0.91711,                 0.8645,                0.93971,                0.77013,                0.83982,                 1.0397,                 1.4839,               0.000769,               0.000769,               0.000769
                     10,                0.64577,                0.97009,                 1.1981,                0.92581,                0.84276,                 0.9453,                0.76909,                0.83866,                0.97975,                 1.4867,               0.000736,               0.000736,               0.000736
                     11,                0.63318,                0.95205,                 1.2095,                 0.9002,                0.83516,                0.92702,                0.72961,                0.90496,                 1.0514,                  1.635,               0.000703,               0.000703,               0.000703
                     12,                0.63491,                0.91907,                 1.2001,                0.80741,                0.85781,                0.93473,                0.76979,                0.82812,                 1.0537,                 1.4651,                0.00067,                0.00067,                0.00067
                     13,                0.64063,                0.85403,                 1.1816,                0.82908,                0.90729,                 0.9153,                0.71562,                0.92075,                 1.0217,                 1.6146,               0.000637,               0.000637,               0.000637
                     14,                0.62541,                0.84818,                 1.1834,                0.86648,                0.84331,                0.93835,                0.75031,                0.83458,                0.94416,                 1.4604,               0.000604,               0.000604,               0.000604
                     15,                0.63176,                0.83043,                 1.1892,                 0.9336,                0.91817,                0.96703,                0.81338,                0.74321,                0.75387,                 1.3727,               0.000571,               0.000571,               0.000571
                     16,                0.59059,                0.77432,                 1.1696,                0.93936,                 0.9217,                0.96952,                 0.7932,                0.80721,                0.81839,                 1.4634,               0.000538,               0.000538,               0.000538
                     17,                0.60205,                0.75266,                 1.1637,                0.88156,                0.95837,                  0.961,                0.79934,                0.77646,                0.76839,                 1.3885,               0.000505,               0.000505,               0.000505
                     18,                 0.5861,                0.72613,                  1.153,                0.93255,                0.92402,                0.97021,                0.79982,                0.77887,                0.77805,                 1.4117,               0.000472,               0.000472,               0.000472
                     19,                0.59034,                0.71857,                 1.1527,                0.93575,                 0.8755,                 0.9596,                0.80206,                 0.7584,                0.73846,                 1.4001,               0.000439,               0.000439,               0.000439
                     20,                0.58309,                0.72634,                  1.161,                0.94764,                0.92537,                 0.9759,                0.81321,                0.77095,                0.72532,                 1.4018,               0.000406,               0.000406,               0.000406
                     21,                0.46974,                0.86514,                 1.1477,                0.91027,                0.92542,                0.96788,                0.82555,                0.75318,                0.75374,                 1.3892,               0.000373,               0.000373,               0.000373
                     22,                0.43591,                0.76797,                 1.1389,                0.96312,                0.91603,                0.96952,                0.82325,                0.72755,                0.72105,                 1.3568,                0.00034,                0.00034,                0.00034
                     23,                0.43071,                0.68689,                 1.1248,                   0.91,                0.93351,                0.96764,                0.83272,                0.69164,                0.72607,                 1.3136,               0.000307,               0.000307,               0.000307
                     24,                 0.4085,                0.67059,                 1.1073,                0.96333,                0.93138,                0.97556,                0.83187,                0.72714,                0.64781,                 1.3283,               0.000274,               0.000274,               0.000274
                     25,                0.40906,                0.60887,                 1.1016,                0.94983,                0.95283,                0.98129,                0.84789,                0.71459,                0.61205,                 1.3171,               0.000241,               0.000241,               0.000241
                     26,                0.39084,                0.59118,                 1.0928,                0.95427,                0.95491,                0.97874,                0.84396,                0.69964,                0.61949,                 1.3193,               0.000208,               0.000208,               0.000208
                     27,                0.38477,                0.55892,                 1.0742,                 0.9654,                 0.9747,                0.98634,                0.85305,                0.67639,                0.56184,                  1.277,               0.000175,               0.000175,               0.000175
                     28,                0.37537,                0.55326,                 1.0781,                 0.9563,                0.96862,                0.98376,                0.85576,                0.67129,                0.58384,                 1.2756,               0.000142,               0.000142,               0.000142
                     29,                0.36113,                0.51801,                 1.0478,                0.97885,                0.95584,                 0.9837,                0.85801,                 0.6657,                 0.5468,                  1.282,               0.000109,               0.000109,               0.000109
                     30,                0.35548,                0.50936,                 1.0393,                0.98024,                0.95503,                0.98538,                0.85687,                0.65958,                 0.5607,                 1.2693,                7.6e-05,                7.6e-05,                7.6e-05
