                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.75269,                 2.7062,                 1.3321,                0.59191,                0.59802,                0.60203,                0.46413,                0.77552,                 2.3669,                 1.4931,             0.00032759,             0.00032759,             0.00032759
                      2,                0.75781,                 1.6366,                 1.3072,                0.86191,                0.67781,                0.84096,                0.62306,                0.92053,                 1.7339,                 1.6936,             0.00063911,             0.00063911,             0.00063911
                      3,                0.75995,                 1.4963,                 1.2982,                0.72624,                0.73798,                0.80968,                0.62867,                0.94476,                 1.7575,                 1.7053,             0.00092863,             0.00092863,             0.00092863
                      4,                0.77033,                 1.3481,                 1.2992,                0.70671,                0.68393,                0.76618,                0.59697,                0.91145,                 1.6904,                 1.6346,               0.000901,               0.000901,               0.000901
                      5,                0.74872,                 1.2371,                 1.2821,                0.76044,                0.78579,                0.84219,                0.65999,                 0.9352,                 1.5762,                 1.6135,               0.000901,               0.000901,               0.000901
                      6,                0.72165,                  1.171,                 1.2542,                0.77892,                0.84093,                0.90618,                0.66186,                0.95776,                 1.2922,                 1.6931,               0.000868,               0.000868,               0.000868
                      7,                0.70256,                 1.0548,                 1.2332,                0.82535,                0.90628,                0.95242,                0.76786,                0.78421,                0.95359,                 1.4271,               0.000835,               0.000835,               0.000835
                      8,                0.69157,                0.96973,                  1.234,                0.81973,                0.88672,                0.92327,                0.74697,                0.86382,                 1.0485,                 1.4802,               0.000802,               0.000802,               0.000802
                      9,                0.68167,                0.92247,                 1.2248,                0.80178,                0.80915,                0.90446,                 0.7472,                0.76722,                 1.0817,                 1.3993,               0.000769,               0.000769,               0.000769
                     10,                0.68201,                0.88026,                   1.22,                0.86934,                 0.8929,                0.95898,                0.78933,                0.74334,                0.81078,                 1.3639,               0.000736,               0.000736,               0.000736
                     11,                0.65564,                0.83212,                 1.2015,                0.91278,                0.93265,                0.95445,                0.78577,                0.74868,                0.75897,                 1.3677,               0.000703,               0.000703,               0.000703
                     12,                0.65266,                0.78973,                 1.2007,                0.92698,                0.92915,                0.97246,                0.80678,                0.76875,                0.75516,                 1.3897,                0.00067,                0.00067,                0.00067
                     13,                0.62813,                0.75932,                 1.1868,                0.90284,                0.88213,                0.96136,                0.79509,                0.75909,                0.80638,                  1.383,               0.000637,               0.000637,               0.000637
                     14,                0.61529,                0.72921,                 1.1596,                0.92682,                0.89157,                0.97144,                0.82656,                0.71696,                0.68691,                 1.3342,               0.000604,               0.000604,               0.000604
                     15,                0.62566,                0.72407,                 1.1665,                0.95557,                0.95045,                0.97757,                0.82372,                0.73032,                0.60246,                 1.3521,               0.000571,               0.000571,               0.000571
                     16,                0.59426,                0.70357,                 1.1678,                0.92925,                0.93118,                0.98025,                0.81838,                0.74094,                 0.6554,                 1.3658,               0.000538,               0.000538,               0.000538
                     17,                0.61868,                0.68993,                   1.17,                0.96997,                0.95105,                0.98431,                0.84656,                0.66425,                 0.5656,                 1.2899,               0.000505,               0.000505,               0.000505
                     18,                0.59259,                0.66166,                 1.1582,                0.95663,                0.96131,                0.98753,                 0.8422,                0.69129,                0.53021,                 1.2951,               0.000472,               0.000472,               0.000472
                     19,                0.60865,                0.65649,                  1.161,                0.90939,                 0.9367,                0.98206,                 0.8378,                0.68086,                0.60551,                  1.295,               0.000439,               0.000439,               0.000439
                     20,                0.57673,                0.60888,                 1.1472,                0.94941,                0.95944,                0.98392,                0.84702,                0.69648,                0.53416,                 1.3135,               0.000406,               0.000406,               0.000406
                     21,                0.48716,                0.66775,                 1.1484,                0.94375,                0.95465,                0.98916,                0.82644,                0.71581,                0.60914,                 1.3262,               0.000373,               0.000373,               0.000373
                     22,                0.46598,                0.60423,                 1.1468,                0.95567,                0.97426,                0.98964,                0.84767,                0.67573,                0.51128,                 1.2867,                0.00034,                0.00034,                0.00034
                     23,                0.45045,                0.51993,                 1.1206,                0.94403,                0.97116,                0.98481,                0.85301,                0.65539,                0.52401,                 1.2678,               0.000307,               0.000307,               0.000307
                     24,                 0.4538,                0.49615,                 1.1235,                0.98069,                0.98834,                0.98968,                 0.8559,                0.65462,                0.46447,                 1.2568,               0.000274,               0.000274,               0.000274
                     25,                0.42231,                0.45365,                 1.0973,                  0.978,                0.96939,                0.99082,                0.85222,                0.66162,                0.46687,                 1.2668,               0.000241,               0.000241,               0.000241
                     26,                 0.4242,                0.44112,                 1.0889,                0.96786,                0.97085,                0.99147,                0.85612,                0.63258,                0.43648,                 1.2303,               0.000208,               0.000208,               0.000208
                     27,                0.41587,                0.43068,                 1.0895,                0.93548,                0.96826,                0.98686,                0.85244,                0.66039,                0.45666,                 1.2747,               0.000175,               0.000175,               0.000175
                     28,                0.41597,                0.39868,                 1.0895,                0.98143,                 0.9705,                0.98967,                 0.8616,                0.64219,                0.41408,                 1.2522,               0.000142,               0.000142,               0.000142
                     29,                0.40109,                0.40805,                 1.0667,                0.98601,                0.96936,                0.99005,                 0.8705,                0.61971,                0.40292,                 1.2271,               0.000109,               0.000109,               0.000109
                     30,                0.39713,                  0.371,                 1.0692,                0.98112,                0.98073,                0.99062,                0.87272,                0.61486,                0.39037,                 1.2263,                7.6e-05,                7.6e-05,                7.6e-05
