                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.93457,                 2.6908,                 1.4541,                0.56766,                0.49222,                0.53637,                 0.3655,                 1.1042,                 2.5947,                 1.7567,             0.00032836,             0.00032836,             0.00032836
                      2,                0.90922,                 1.6672,                 1.3714,                0.66799,                0.67171,                0.68324,                0.48165,                 1.1317,                 1.9571,                 1.7391,             0.00063986,             0.00063986,             0.00063986
                      3,                0.94172,                 1.5285,                 1.3886,                0.67597,                0.65427,                0.71233,                0.50136,                 1.1173,                 1.7394,                 1.8059,             0.00092935,             0.00092935,             0.00092935
                      4,                 0.9061,                 1.4361,                 1.3707,                 0.6362,                0.73956,                0.74281,                0.49615,                 1.1624,                 1.5451,                 1.7297,               0.000901,               0.000901,               0.000901
                      5,                0.87946,                 1.3101,                 1.3395,                0.65416,                0.68747,                0.67424,                0.47307,                  1.117,                 1.8074,                 1.7079,               0.000901,               0.000901,               0.000901
                      6,                0.85331,                 1.2202,                 1.3061,                0.74867,                0.74577,                0.80298,                0.57549,                 1.0592,                 1.2001,                 1.6672,               0.000868,               0.000868,               0.000868
                      7,                0.84052,                 1.1225,                 1.2945,                0.74212,                0.79106,                0.78857,                0.56326,                 1.0546,                  1.218,                  1.635,               0.000835,               0.000835,               0.000835
                      8,                0.80743,                 1.0453,                 1.2822,                0.73282,                0.73439,                0.76759,                0.54974,                  1.084,                 1.2044,                 1.6408,               0.000802,               0.000802,               0.000802
                      9,                 0.7965,                 1.0016,                  1.261,                0.78146,                0.83896,                0.82903,                0.61169,                 1.0094,                 1.0917,                 1.6284,               0.000769,               0.000769,               0.000769
                     10,                0.79538,                0.97049,                 1.2734,                0.77756,                0.82529,                0.82474,                0.61622,                0.95558,                 1.0182,                 1.5284,               0.000736,               0.000736,               0.000736
                     11,                0.78034,                0.94076,                 1.2477,                0.79982,                0.80391,                0.81883,                0.60704,                 1.0023,                0.99997,                 1.5884,               0.000703,               0.000703,               0.000703
                     12,                0.77082,                0.90448,                 1.2478,                0.77224,                0.82133,                0.82947,                0.61869,                0.99153,                0.92643,                 1.5536,                0.00067,                0.00067,                0.00067
                     13,                0.76321,                0.87149,                 1.2359,                0.78356,                0.78456,                 0.8025,                0.60226,                 1.0018,                 1.0804,                 1.5585,               0.000637,               0.000637,               0.000637
                     14,                  0.759,                0.85148,                 1.2227,                0.72645,                0.77625,                0.80638,                0.58926,                 1.0159,                 1.0438,                 1.5781,               0.000604,               0.000604,               0.000604
                     15,                0.73344,                0.80822,                 1.2312,                0.78408,                 0.7726,                0.82331,                0.61171,                0.99679,                0.90457,                 1.6096,               0.000571,               0.000571,               0.000571
                     16,                0.76392,                0.84879,                 1.2567,                0.79792,                0.85883,                0.86441,                0.66093,                0.93665,                  0.798,                 1.4952,               0.000538,               0.000538,               0.000538
                     17,                0.71953,                0.77488,                 1.2057,                0.78636,                0.85557,                0.84366,                0.62263,                0.98769,                0.78482,                 1.6107,               0.000505,               0.000505,               0.000505
                     18,                0.72589,                 0.7545,                 1.2189,                0.84237,                0.87398,                0.87216,                0.66611,                0.90778,                0.70955,                 1.4687,               0.000472,               0.000472,               0.000472
                     19,                0.70555,                0.75005,                 1.2005,                 0.8086,                0.81831,                0.83426,                0.63188,                0.92631,                0.85111,                 1.4955,               0.000439,               0.000439,               0.000439
                     20,                0.69007,                0.71482,                 1.1908,                0.83969,                0.84847,                0.85174,                0.63766,                0.95906,                0.73935,                 1.5482,               0.000406,               0.000406,               0.000406
                     21,                0.63167,                0.74427,                 1.2196,                0.83193,                0.84997,                 0.8379,                0.62486,                0.96927,                 0.8032,                 1.5241,               0.000373,               0.000373,               0.000373
                     22,                 0.6055,                0.66969,                 1.1967,                0.78394,                0.85183,                0.83945,                0.64863,                0.89679,                0.81167,                 1.4603,                0.00034,                0.00034,                0.00034
                     23,                0.58568,                0.66267,                 1.1743,                0.83246,                0.86334,                0.86062,                0.66433,                0.90727,                0.73512,                 1.4572,               0.000307,               0.000307,               0.000307
                     24,                0.57502,                0.56797,                 1.1507,                0.81472,                 0.8876,                0.87044,                0.66939,                0.89265,                0.69418,                 1.4435,               0.000274,               0.000274,               0.000274
                     25,                0.57537,                 0.5543,                 1.1717,                0.84272,                0.87731,                0.85505,                0.66135,                0.89478,                0.67109,                   1.45,               0.000241,               0.000241,               0.000241
                     26,                0.57091,                0.55141,                 1.1559,                 0.8514,                0.83439,                0.85351,                0.65485,                 0.9281,                0.66243,                 1.4935,               0.000208,               0.000208,               0.000208
                     27,                0.55588,                0.53647,                 1.1425,                 0.8463,                0.88103,                0.86284,                0.67734,                0.85869,                0.66274,                 1.3998,               0.000175,               0.000175,               0.000175
                     28,                 0.5402,                 0.4979,                 1.1298,                  0.836,                0.87716,                 0.8708,                0.68415,                0.88474,                0.66598,                 1.4388,               0.000142,               0.000142,               0.000142
                     29,                0.51573,                0.46639,                 1.1232,                0.84511,                 0.8639,                0.85798,                0.66753,                 0.9221,                0.66843,                 1.4844,               0.000109,               0.000109,               0.000109
                     30,                0.52263,                0.48414,                 1.1225,                0.84043,                0.87758,                0.86365,                0.67578,                0.89441,                0.64424,                 1.4536,                7.6e-05,                7.6e-05,                7.6e-05
