                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.7927,                 2.7565,                 1.2411,                0.88278,                0.32365,                0.66702,                0.51478,                0.70794,                   2.81,                 1.2031,             0.00029819,             0.00029819,             0.00029819
                      2,                0.76632,                 1.5797,                  1.182,                0.74161,                0.88674,                0.89702,                0.68797,                0.78649,                 1.8852,                 1.2621,             0.00059821,             0.00059821,             0.00059821
                      3,                0.79789,                  1.409,                 1.1714,                0.91802,                0.86717,                0.94707,                 0.7219,                 0.7749,                 1.3575,                 1.2434,             0.00089524,             0.00089524,             0.00089524
                      4,                0.78087,                  1.352,                 1.1634,                0.92308,                0.76584,                0.92774,                0.72841,                0.71659,                 1.2532,                 1.1932,              0.0008955,              0.0008955,              0.0008955
                      5,                0.76467,                 1.1336,                 1.1414,                0.79774,                0.70737,                0.88253,                0.72034,                0.76756,                 1.6593,                 1.2733,              0.0008955,              0.0008955,              0.0008955
                      6,                0.75515,                0.99185,                 1.1171,                0.78187,                0.89652,                0.92396,                  0.731,                0.74705,                 1.1732,                 1.2296,               0.000891,               0.000891,               0.000891
                      7,                0.75758,                0.92191,                 1.1206,                0.84872,                0.96387,                0.97796,                0.78906,                0.74775,                0.86874,                 1.2286,              0.0008865,              0.0008865,              0.0008865
                      8,                0.72536,                0.83551,                 1.1012,                0.88544,                0.95022,                0.97938,                0.80449,                0.68819,                0.78731,                 1.1439,               0.000882,               0.000882,               0.000882
                      9,                0.71179,                0.80595,                 1.0855,                0.89138,                0.99042,                0.98681,                0.82176,                0.64472,                0.69125,                  1.122,              0.0008775,              0.0008775,              0.0008775
                     10,                0.70812,                0.76287,                 1.0905,                0.92363,                0.98248,                 0.9834,                0.80429,                0.65479,                0.63982,                 1.0965,               0.000873,               0.000873,               0.000873
                     11,                0.70384,                0.71677,                 1.0907,                0.86244,                0.95909,                0.96231,                0.78696,                0.65432,                0.68408,                 1.1136,              0.0008685,              0.0008685,              0.0008685
                     12,                0.69081,                0.67569,                 1.0754,                 0.8479,                0.89031,                0.96202,                0.80465,                0.66178,                0.71231,                 1.1236,               0.000864,               0.000864,               0.000864
                     13,                0.68614,                0.66137,                 1.0708,                0.90176,                0.91801,                0.98875,                0.80658,                0.65193,                0.60934,                 1.1336,              0.0008595,              0.0008595,              0.0008595
                     14,                0.67389,                0.62921,                 1.0664,                0.91585,                0.94998,                0.99078,                0.82735,                0.62636,                0.57648,                 1.0904,             0.00085501,             0.00085501,             0.00085501
                     15,                0.68898,                0.61938,                 1.0843,                 0.9039,                0.94126,                0.98181,                0.82301,                0.60559,                0.57667,                  1.082,             0.00085051,             0.00085051,             0.00085051
                     16,                0.68543,                0.60141,                 1.0729,                0.97099,                0.91813,                0.98793,                0.82533,                 0.6163,                0.51647,                 1.0942,             0.00084601,             0.00084601,             0.00084601
                     17,                0.67733,                0.59411,                 1.0638,                0.92169,                0.89796,                0.97442,                0.83201,                0.62567,                0.62358,                  1.085,             0.00084151,             0.00084151,             0.00084151
                     18,                0.65978,                0.55725,                 1.0519,                0.97676,                0.99646,                  0.995,                0.83714,                0.58799,                 0.4308,                 1.0555,             0.00083701,             0.00083701,             0.00083701
                     19,                0.66572,                0.56212,                 1.0689,                0.97692,                0.97565,                0.99382,                0.84874,                0.61591,                0.44603,                 1.0767,             0.00083251,             0.00083251,             0.00083251
                     20,                0.65798,                 0.5711,                 1.0639,                0.93175,                0.84767,                 0.9501,                0.79888,                0.61487,                0.58211,                 1.0924,             0.00082801,             0.00082801,             0.00082801
                     21,                0.66335,                0.54605,                 1.0709,                0.89092,                0.89892,                0.94286,                0.79377,                0.63537,                0.67304,                 1.0927,             0.00082351,             0.00082351,             0.00082351
                     22,                0.65215,                0.52973,                 1.0643,                0.97054,                0.90711,                0.97344,                0.82627,                0.63016,                0.50293,                 1.0884,             0.00081901,             0.00081901,             0.00081901
                     23,                0.65153,                0.53526,                 1.0574,                0.93346,                0.95499,                0.98901,                0.82161,                0.66945,                0.49855,                 1.1113,             0.00081451,             0.00081451,             0.00081451
                     24,                0.65311,                0.49888,                 1.0589,                0.93955,                0.98209,                0.99342,                0.84105,                0.61873,                0.42965,                 1.0845,             0.00081001,             0.00081001,             0.00081001
                     25,                0.62862,                0.49624,                 1.0417,                0.96608,                0.98136,                  0.995,                0.85712,                0.60737,                0.40113,                 1.0725,             0.00080551,             0.00080551,             0.00080551
                     26,                0.64719,                0.49602,                  1.056,                0.85818,                0.84309,                0.96145,                0.80762,                0.63989,                0.76323,                 1.0912,             0.00080101,             0.00080101,             0.00080101
                     27,                0.65515,                0.51701,                 1.0576,                0.96129,                0.93818,                0.98891,                0.85702,                0.59791,                0.51086,                 1.0759,             0.00079651,             0.00079651,             0.00079651
                     28,                0.64708,                0.48983,                 1.0506,                0.95275,                 0.9879,                0.99324,                0.84893,                0.61553,                0.39434,                 1.0847,             0.00079201,             0.00079201,             0.00079201
                     29,                0.63222,                0.48521,                 1.0461,                0.97419,                0.96611,                0.98975,                0.83754,                0.60908,                0.41852,                 1.0824,             0.00078751,             0.00078751,             0.00078751
                     30,                0.64043,                0.50087,                 1.0608,                0.85051,                0.93219,                0.95359,                0.80986,                0.62093,                0.61087,                  1.087,             0.00078301,             0.00078301,             0.00078301
                     31,                0.63087,                0.47426,                 1.0479,                0.96983,                 0.9638,                0.99168,                0.83029,                0.63028,                0.39252,                 1.0819,             0.00077851,             0.00077851,             0.00077851
                     32,                0.64716,                 0.4828,                 1.0546,                0.94227,                0.78083,                0.98067,                0.84353,                0.58331,                0.64771,                 1.0485,             0.00077401,             0.00077401,             0.00077401
                     33,                0.63143,                0.45866,                 1.0455,                0.92905,                0.92158,                0.97977,                0.84304,                0.60444,                0.48298,                 1.0682,             0.00076951,             0.00076951,             0.00076951
