                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1467,                 2.9234,                 1.6869,                 0.4788,                 0.5211,                0.53975,                0.31736,                 1.3866,                 2.5403,                 2.1995,              0.0003287,              0.0003287,              0.0003287
                      2,                 1.1442,                  1.931,                 1.6508,                0.73478,                0.56757,                0.65843,                0.39343,                 1.5104,                 2.2918,                 2.5691,             0.00064019,             0.00064019,             0.00064019
                      3,                 1.1671,                 1.7199,                 1.6413,                0.67789,                 0.7265,                0.71476,                0.42131,                 1.5081,                 2.1154,                 2.5122,             0.00092968,             0.00092968,             0.00092968
                      4,                 1.1499,                 1.6031,                 1.6367,                0.63106,                0.74428,                0.73558,                0.38274,                 1.6286,                 1.9842,                 2.4223,               0.000901,               0.000901,               0.000901
                      5,                  1.143,                 1.4986,                 1.5994,                0.61519,                0.63994,                0.62988,                0.33544,                 1.8183,                 1.9681,                 2.9745,               0.000901,               0.000901,               0.000901
                      6,                 1.1067,                 1.3989,                 1.5733,                0.70904,                0.58285,                  0.669,                0.35494,                 1.7544,                 1.9793,                 2.9087,               0.000868,               0.000868,               0.000868
                      7,                 1.0978,                  1.328,                 1.5813,                0.73017,                0.76427,                0.77835,                0.51367,                 1.2564,                 1.3759,                 1.9533,               0.000835,               0.000835,               0.000835
                      8,                   1.08,                  1.228,                 1.5562,                0.84681,                0.82049,                 0.8455,                0.57396,                 1.2697,                 1.3192,                 1.9678,               0.000802,               0.000802,               0.000802
                      9,                 1.0749,                 1.1896,                 1.5446,                0.83375,                0.81377,                0.85499,                0.58996,                 1.2988,                 1.1762,                 1.9536,               0.000769,               0.000769,               0.000769
                     10,                 1.0508,                 1.1389,                 1.5303,                0.84879,                0.82745,                0.85741,                0.58085,                 1.2248,                 1.0713,                 1.8578,               0.000736,               0.000736,               0.000736
                     11,                  1.032,                 1.0961,                  1.522,                0.84005,                0.82244,                0.83479,                0.55323,                 1.3011,                0.99918,                 2.0619,               0.000703,               0.000703,               0.000703
                     12,                   1.02,                 1.0808,                 1.5062,                0.73907,                0.75168,                0.75811,                0.46851,                 1.5939,                 1.1133,                 2.4918,                0.00067,                0.00067,                0.00067
                     13,                0.99897,                 1.0927,                 1.5058,                0.87656,                0.78723,                0.85018,                0.55614,                 1.3969,                0.97694,                 1.9881,               0.000637,               0.000637,               0.000637
                     14,                 1.0038,                 1.0339,                 1.5023,                0.87788,                0.78207,                0.85391,                0.58965,                 1.1892,                 1.0034,                 1.8092,               0.000604,               0.000604,               0.000604
                     15,                0.99232,                 0.9764,                 1.4963,                0.84182,                0.79603,                0.84395,                0.56563,                 1.2616,                0.95426,                  1.789,               0.000571,               0.000571,               0.000571
                     16,                0.95086,                0.96218,                 1.4545,                0.91634,                0.79182,                0.87864,                0.62861,                 1.1381,                0.92761,                 1.6977,               0.000538,               0.000538,               0.000538
                     17,                0.93995,                  0.958,                 1.4477,                0.87368,                0.84874,                0.89028,                0.62014,                 1.2007,                 1.0124,                 1.7641,               0.000505,               0.000505,               0.000505
                     18,                0.95493,                0.96336,                 1.4657,                0.89779,                0.85357,                0.88397,                0.63778,                 1.1412,                0.76411,                  1.769,               0.000472,               0.000472,               0.000472
                     19,                0.93864,                0.91226,                 1.4615,                0.84183,                0.85127,                0.87885,                 0.6272,                 1.1042,                0.88012,                  1.691,               0.000439,               0.000439,               0.000439
                     20,                0.95229,                0.93236,                 1.4559,                0.85843,                0.78898,                0.83877,                0.58664,                  1.253,                0.87575,                 1.9222,               0.000406,               0.000406,               0.000406
                     21,                0.94713,                0.88551,                 1.6309,                0.87359,                0.84881,                0.88314,                0.64753,                 1.0403,                0.84615,                 1.6347,               0.000373,               0.000373,               0.000373
                     22,                0.89702,                0.79936,                 1.5959,                0.87438,                0.83641,                0.89325,                0.64412,                 1.1124,                0.90798,                 1.6824,                0.00034,                0.00034,                0.00034
                     23,                0.87115,                0.78152,                 1.5796,                 0.8925,                0.83169,                0.88852,                0.65553,                 1.0632,                0.90091,                 1.6807,               0.000307,               0.000307,               0.000307
                     24,                0.86209,                0.75029,                 1.5577,                0.94383,                0.77801,                0.88442,                 0.6742,                0.99976,                0.84533,                 1.5944,               0.000274,               0.000274,               0.000274
                     25,                0.84425,                0.72927,                 1.5335,                0.91146,                0.84705,                0.88382,                0.64837,                 1.0523,                0.83267,                  1.618,               0.000241,               0.000241,               0.000241
                     26,                0.84363,                0.70667,                 1.5325,                0.90565,                0.83749,                0.90437,                0.69584,                 0.9536,                0.75729,                 1.5417,               0.000208,               0.000208,               0.000208
                     27,                 0.7877,                0.69131,                 1.4821,                0.86659,                0.89355,                0.89552,                0.69915,                0.93145,                0.72587,                 1.5762,               0.000175,               0.000175,               0.000175
                     28,                0.78855,                0.65436,                 1.4915,                0.93675,                0.80715,                0.88859,                0.69131,                0.96966,                 0.7955,                 1.5818,               0.000142,               0.000142,               0.000142
                     29,                0.77203,                0.65415,                 1.4573,                0.87727,                0.87502,                0.90202,                0.71628,                 0.9106,                0.70281,                 1.5103,               0.000109,               0.000109,               0.000109
                     30,                0.74475,                0.64744,                 1.4342,                0.87847,                0.87219,                0.90197,                0.71456,                0.90339,                0.69695,                 1.4936,                7.6e-05,                7.6e-05,                7.6e-05
