                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.79313,                 2.7305,                 1.2461,                0.85435,                0.39553,                0.73524,                0.57187,                  0.707,                 2.6781,                 1.2166,             0.00029819,             0.00029819,             0.00029819
                      2,                 0.7643,                 1.5758,                 1.1918,                0.70079,                0.76033,                0.73924,                0.60657,                0.73123,                 2.0527,                 1.2045,             0.00058135,             0.00058135,             0.00058135
                      3,                0.78471,                 1.4022,                  1.173,                0.77306,                0.78576,                0.88062,                0.68391,                 0.7257,                 1.3067,                 1.2215,             0.00084451,             0.00084451,             0.00084451
                      4,                0.77936,                 1.3476,                 1.1572,                0.88154,                0.92019,                0.97276,                0.80651,                0.69275,                 1.2162,                 1.1776,             0.00081901,             0.00081901,             0.00081901
                      5,                0.75567,                 1.1582,                 1.1439,                0.79217,                0.71099,                0.81728,                0.62936,                0.74642,                 1.9383,                 1.2084,             0.00081901,             0.00081901,             0.00081901
                      6,                0.74605,                 1.0046,                 1.1107,                0.86962,                 0.8478,                0.94437,                  0.711,                 0.8067,                   1.14,                 1.2551,             0.00078901,             0.00078901,             0.00078901
                      7,                0.72934,                0.91838,                 1.1036,                 0.9323,                 0.9486,                0.98342,                 0.8106,                0.69671,                0.87697,                 1.1352,             0.00075902,             0.00075902,             0.00075902
                      8,                0.69756,                0.85021,                 1.0818,                 0.8374,                0.96208,                0.95367,                0.75084,                0.75683,                0.91805,                 1.1781,             0.00072902,             0.00072902,             0.00072902
                      9,                0.68643,                0.78353,                 1.0737,                0.94154,                0.86156,                0.96941,                 0.7782,                0.71123,                0.81527,                 1.1743,             0.00069902,             0.00069902,             0.00069902
                     10,                0.67698,                0.73732,                 1.0727,                0.91425,                0.90191,                0.97792,                0.79281,                0.70709,                0.68497,                   1.14,             0.00066902,             0.00066902,             0.00066902
                     11,                0.69046,                0.70055,                 1.0763,                0.97665,                0.97999,                  0.995,                0.84572,                0.60811,                0.53228,                 1.0787,             0.00063903,             0.00063903,             0.00063903
                     12,                0.67778,                0.67183,                 1.0679,                0.97506,                 0.9848,                0.99441,                0.84708,                0.61032,                0.50945,                 1.0715,             0.00060903,             0.00060903,             0.00060903
                     13,                0.65286,                0.62364,                 1.0549,                0.93482,                0.94635,                0.98966,                0.83665,                0.62135,                0.57891,                 1.0773,             0.00057903,             0.00057903,             0.00057903
                     14,                0.63557,                0.59102,                 1.0395,                0.93351,                0.93196,                0.96901,                0.82307,                0.63829,                0.60582,                  1.092,             0.00054904,             0.00054904,             0.00054904
                     15,                0.65344,                0.58881,                 1.0661,                0.92767,                0.98099,                0.99278,                0.85965,                0.59296,                0.48874,                 1.0529,             0.00051904,             0.00051904,             0.00051904
                     16,                0.63344,                 0.5662,                 1.0472,                0.96884,                 0.9755,                0.98739,                0.82559,                0.61102,                0.46433,                 1.0663,             0.00048904,             0.00048904,             0.00048904
                     17,                0.64184,                0.55893,                 1.0446,                0.95924,                0.97267,                0.99441,                0.85737,                0.58634,                 0.4253,                 1.0565,             0.00045904,             0.00045904,             0.00045904
                     18,                0.63058,                0.52346,                  1.041,                 0.9491,                 0.9176,                0.97976,                 0.8504,                0.56891,                0.42823,                 1.0392,             0.00042905,             0.00042905,             0.00042905
                     19,                0.62633,                0.52112,                 1.0501,                0.95591,                0.94261,                 0.9859,                0.85812,                0.54938,                0.42583,                 1.0261,             0.00039905,             0.00039905,             0.00039905
                     20,                0.60238,                0.50135,                 1.0351,                0.96907,                0.92013,                0.99175,                0.87144,                0.55951,                0.44505,                 1.0321,             0.00036905,             0.00036905,             0.00036905
                     21,                0.51424,                0.44728,                0.98318,                0.97647,                0.93828,                  0.995,                0.87082,                0.55917,                0.46614,                 1.0312,             0.00033906,             0.00033906,             0.00033906
                     22,                 0.5042,                0.41966,                0.99863,                0.95674,                0.93186,                0.98913,                0.86046,                0.56749,                0.45422,                 1.0287,             0.00030906,             0.00030906,             0.00030906
                     23,                0.49726,                0.38929,                0.97869,                 0.9456,                0.99085,                0.99342,                0.87383,                0.55282,                0.35201,                 1.0294,             0.00027906,             0.00027906,             0.00027906
                     24,                0.48795,                0.37242,                 0.9711,                0.93389,                0.93362,                0.98926,                0.86387,                0.57453,                0.46545,                 1.0525,             0.00024907,             0.00024907,             0.00024907
                     25,                0.48119,                0.35055,                0.97762,                 0.9727,                      1,                  0.995,                0.87951,                0.55095,                0.31517,                 1.0165,             0.00021907,             0.00021907,             0.00021907
                     26,                0.46632,                0.33912,                0.96405,                0.98131,                0.99536,                  0.995,                0.88307,                0.53793,                 0.3062,                 1.0073,             0.00018907,             0.00018907,             0.00018907
                     27,                0.46703,                 0.3302,                0.97197,                0.97008,                0.96276,                  0.995,                0.88987,                0.53172,                0.32691,                 1.0082,             0.00015907,             0.00015907,             0.00015907
                     28,                0.46078,                0.32239,                0.96445,                0.98029,                0.96152,                  0.995,                 0.8877,                0.51451,                0.33236,                0.99211,             0.00012908,             0.00012908,             0.00012908
                     29,                  0.449,                0.30591,                0.94438,                0.90281,                0.98249,                0.96596,                0.85725,                0.52031,                0.40481,                 0.9962,             9.9081e-05,             9.9081e-05,             9.9081e-05
                     30,                0.43362,                0.29416,                0.93608,                0.90165,                 0.9816,                  0.966,                0.85956,                0.51294,                0.38561,                0.99419,             6.9084e-05,             6.9084e-05,             6.9084e-05
