                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2387,                 2.1464,                 1.6307,                0.59259,                0.58526,                0.58593,                0.35532,                 1.3364,                 1.8318,                 1.8283,             0.00015828,             0.00015828,             0.00015828
                      2,                 1.2468,                 1.5633,                 1.5907,                0.57253,                0.57579,                0.58512,                0.37876,                 1.3362,                 1.6216,                 1.8338,             0.00030648,             0.00030648,             0.00030648
                      3,                 1.2499,                 1.5139,                 1.5938,                0.61186,                0.60178,                0.61569,                0.37284,                 1.4106,                 1.4956,                  1.855,             0.00044422,             0.00044422,             0.00044422
                      4,                 1.2085,                 1.3869,                 1.5597,                0.66564,                0.66903,                0.71297,                0.46299,                 1.2665,                 1.2259,                 1.7364,             0.00042888,             0.00042888,             0.00042888
                      5,                 1.1938,                 1.2774,                 1.5345,                 0.7416,                0.69222,                0.74617,                0.48922,                 1.2405,                 1.1075,                 1.7235,             0.00042888,             0.00042888,             0.00042888
                      6,                  1.164,                 1.2064,                 1.5156,                0.71384,                0.70191,                0.75188,                0.49374,                 1.2613,                 1.0882,                 1.7237,             0.00041317,             0.00041317,             0.00041317
                      7,                 1.1469,                  1.164,                 1.4988,                0.73204,                0.71028,                 0.7621,                0.51371,                 1.2128,                 1.0647,                  1.658,             0.00039746,             0.00039746,             0.00039746
                      8,                 1.1341,                 1.1187,                 1.4857,                0.72844,                0.71578,                0.76402,                0.51517,                 1.1909,                 1.0412,                 1.6324,             0.00038175,             0.00038175,             0.00038175
                      9,                 1.1068,                 1.0687,                 1.4658,                0.73377,                0.74606,                0.77962,                0.52811,                 1.1743,                0.98331,                 1.6069,             0.00036604,             0.00036604,             0.00036604
                     10,                  1.097,                 1.0232,                 1.4527,                0.73652,                0.75188,                 0.7911,                0.54237,                 1.1658,                0.94911,                  1.611,             0.00035034,             0.00035034,             0.00035034
                     11,                 1.0873,                0.99767,                  1.451,                 0.7758,                0.75827,                0.82029,                0.56879,                 1.1441,                0.84538,                 1.6006,             0.00033463,             0.00033463,             0.00033463
                     12,                 1.0726,                0.97325,                 1.4385,                0.79548,                0.77742,                0.83364,                0.57364,                 1.1491,                0.83988,                  1.577,             0.00031892,             0.00031892,             0.00031892
                     13,                 1.0763,                0.94022,                  1.443,                0.80589,                0.76244,                0.82918,                0.57539,                 1.1242,                0.83582,                  1.573,             0.00030321,             0.00030321,             0.00030321
                     14,                 1.0508,                0.90984,                 1.4208,                0.80068,                0.78955,                0.84083,                0.58421,                 1.1267,                0.80304,                 1.5678,              0.0002875,              0.0002875,              0.0002875
                     15,                 1.0442,                0.89389,                 1.4169,                0.79344,                0.79314,                0.83998,                0.58694,                 1.1251,                0.80001,                 1.5673,              0.0002718,              0.0002718,              0.0002718
                     16,                  1.034,                0.87074,                 1.4071,                 0.8082,                0.79597,                0.84632,                0.60026,                 1.1066,                0.77208,                 1.5383,             0.00025609,             0.00025609,             0.00025609
                     17,                 1.0269,                0.85599,                 1.4069,                 0.8106,                0.79668,                 0.8431,                0.59527,                 1.1021,                0.78183,                 1.5376,             0.00024038,             0.00024038,             0.00024038
                     18,                 1.0257,                0.82983,                 1.3971,                0.80365,                0.81023,                0.85929,                0.60411,                 1.1037,                 0.7488,                 1.5354,             0.00022467,             0.00022467,             0.00022467
                     19,                 1.0212,                0.81438,                 1.3901,                0.80995,                0.81122,                0.85465,                0.60751,                 1.0911,                0.75242,                 1.5307,             0.00020896,             0.00020896,             0.00020896
                     20,                 1.0108,                0.80653,                 1.3938,                 0.8274,                 0.8075,                0.86136,                0.60602,                 1.0973,                0.71912,                 1.5335,             0.00019326,             0.00019326,             0.00019326
