                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2674,                 3.0817,                 1.6568,                0.46235,                0.53044,                0.49447,                0.29775,                  1.347,                 2.4064,                  1.881,             0.00015828,             0.00015828,             0.00015828
                      2,                 1.2317,                 2.0822,                   1.59,                0.62267,                0.63077,                 0.6375,                0.39981,                 1.3229,                 1.7847,                 1.8321,             0.00030648,             0.00030648,             0.00030648
                      3,                 1.2142,                 1.8247,                  1.571,                 0.6164,                0.65056,                0.64083,                0.40907,                 1.2775,                 1.6352,                  1.768,             0.00044422,             0.00044422,             0.00044422
                      4,                 1.1909,                 1.6232,                 1.5443,                 0.6614,                0.67033,                0.69023,                0.44635,                 1.2643,                  1.454,                 1.7517,             0.00042888,             0.00042888,             0.00042888
                      5,                 1.1789,                 1.4768,                 1.5187,                0.69147,                0.69138,                0.71477,                0.46071,                  1.262,                 1.2908,                  1.731,             0.00042888,             0.00042888,             0.00042888
                      6,                 1.1548,                  1.373,                 1.5034,                0.65019,                 0.6335,                0.66889,                0.42927,                 1.3028,                 1.3873,                 1.7566,             0.00041317,             0.00041317,             0.00041317
                      7,                 1.1442,                  1.307,                 1.4922,                0.69905,                0.70443,                0.74943,                0.49864,                 1.2252,                  1.227,                 1.6765,             0.00039746,             0.00039746,             0.00039746
                      8,                 1.1444,                 1.2513,                  1.484,                0.73023,                0.72264,                0.76301,                0.50309,                 1.2376,                 1.1514,                 1.6882,             0.00038175,             0.00038175,             0.00038175
                      9,                 1.1213,                 1.1934,                 1.4681,                0.72259,                 0.7321,                0.76411,                 0.5134,                  1.176,                 1.1179,                 1.6355,             0.00036604,             0.00036604,             0.00036604
                     10,                 1.1102,                 1.1409,                  1.451,                0.74435,                0.75955,                0.79228,                0.53882,                 1.1767,                 1.0052,                 1.6145,             0.00035034,             0.00035034,             0.00035034
                     11,                 1.1022,                 1.1164,                 1.4513,                0.75121,                 0.7493,                0.80007,                0.54499,                 1.1692,                0.99801,                 1.6262,             0.00033463,             0.00033463,             0.00033463
                     12,                 1.0862,                  1.084,                 1.4364,                0.74874,                0.77263,                0.81184,                0.55125,                 1.1888,                0.96637,                 1.6226,             0.00031892,             0.00031892,             0.00031892
                     13,                 1.0945,                 1.0541,                 1.4408,                0.75845,                0.76529,                0.80644,                0.55252,                 1.1622,                0.98173,                 1.6065,             0.00030321,             0.00030321,             0.00030321
                     14,                 1.0693,                 1.0254,                 1.4244,                0.78113,                0.78797,                0.82904,                0.57184,                 1.1498,                0.89463,                 1.5904,              0.0002875,              0.0002875,              0.0002875
                     15,                 1.0663,                 1.0028,                 1.4232,                 0.8018,                0.76635,                0.82311,                0.56122,                 1.1627,                0.95062,                 1.6042,              0.0002718,              0.0002718,              0.0002718
                     16,                 1.0578,                0.97638,                 1.4144,                0.77961,                0.78573,                0.82881,                0.57063,                  1.162,                 0.8755,                 1.5934,             0.00025609,             0.00025609,             0.00025609
                     17,                  1.051,                0.96934,                 1.4125,                0.77204,                0.79082,                0.82816,                0.57026,                 1.1327,                 0.8979,                 1.5602,             0.00024038,             0.00024038,             0.00024038
                     18,                 1.0488,                 0.9405,                 1.4026,                0.80507,                0.78426,                0.83932,                0.58005,                   1.14,                0.86951,                 1.5666,             0.00022467,             0.00022467,             0.00022467
                     19,                 1.0539,                0.93431,                 1.4037,                0.77505,                0.77835,                0.80886,                0.55978,                 1.1414,                0.93278,                  1.573,             0.00020896,             0.00020896,             0.00020896
                     20,                 1.0426,                 0.9229,                 1.4009,                0.79715,                0.79424,                0.84297,                0.58424,                 1.1376,                0.83146,                 1.5647,             0.00019326,             0.00019326,             0.00019326
                     21,                 1.0394,                 0.8365,                 1.4952,                0.77964,                 0.8122,                 0.8409,                0.58689,                 1.1124,                0.81628,                 1.5439,             0.00017755,             0.00017755,             0.00017755
                     22,                  1.019,                0.78536,                 1.4763,                0.80655,                0.80739,                 0.8446,                0.59154,                 1.1096,                0.80218,                  1.541,             0.00016184,             0.00016184,             0.00016184
                     23,                 1.0117,                  0.759,                 1.4606,                0.80611,                0.81875,                0.85554,                0.60259,                 1.0968,                0.77674,                 1.5305,             0.00014613,             0.00014613,             0.00014613
                     24,                 1.0007,                0.73889,                 1.4541,                0.81268,                0.80018,                0.84948,                 0.5959,                 1.0973,                0.79333,                 1.5323,             0.00013042,             0.00013042,             0.00013042
                     25,                0.98389,                0.72703,                 1.4416,                0.81659,                0.80921,                0.85587,                0.60564,                 1.0898,                0.76392,                 1.5235,             0.00011472,             0.00011472,             0.00011472
                     26,                0.97764,                0.70153,                  1.436,                0.81092,                0.82504,                0.86522,                0.61215,                 1.0952,                0.75158,                 1.5105,             9.9008e-05,             9.9008e-05,             9.9008e-05
                     27,                0.97229,                0.68828,                 1.4271,                 0.8185,                0.81594,                0.86304,                0.61174,                 1.0795,                0.75464,                 1.5013,               8.33e-05,               8.33e-05,               8.33e-05
                     28,                 0.9618,                0.68029,                 1.4216,                0.83395,                0.80105,                0.86109,                0.61317,                 1.0829,                0.75738,                 1.5081,             6.7592e-05,             6.7592e-05,             6.7592e-05
                     29,                0.95347,                0.65854,                 1.4125,                0.81761,                0.82288,                0.86589,                0.61485,                 1.0816,                0.73597,                 1.5046,             5.1884e-05,             5.1884e-05,             5.1884e-05
                     30,                0.94758,                0.64602,                 1.4084,                0.82106,                0.82107,                0.86794,                0.61695,                 1.0801,                0.73038,                 1.4975,             3.6176e-05,             3.6176e-05,             3.6176e-05
